prompt,competition
그렇게 잘가냐?,너 같이 못생긴 여자는 그렇게라도 안하면 연예인 절대 못 할걸
자기야 뭐하는데 말해도 너 말을 안해 나랑 얘기좀 하자,나 기분 안 좋으니까 기사쓰지 마라
나 그옷 입고다니면 다 기분 나쁘게 쳐다보겠다,노리고 입고 다니는 거 아니야? 겁나 쳐다본 것도 아닌데 그냥 그럴거면 입고 다니지를 마
약속 시간에 늦지 않아줬으면 좋겠어,오빠는 여자 연예인한테 너무 까다로운 요구도 하는거야
아니 그냥 둘이 사귀는 건 예의가 아니잖아,남자 만나서 이상한짓하는 것도 아닌데? 에휴 너 진짜 남자에 눈이 돌아간거냐 ㅉㅉ
그래도 남자친구가 있는데 굳이 둘이서 술을 마시는게 아닌거같은데,야 내가 뭐 이상한 거 하자는 것도 아니고 우리사이에 그정도도 못하겠다며? 너 진짜 이기적이다
내 남자였어도 내가 너랑 둘이 노는거 싫어해,얘가 원래는 안그러더니 남자 잘못만나고 사람이 이상해졌네
누나가 숙제하는것좀 도와줘,니가 무슨 보모인줄 알아? 니가 알아서 좀 해
점심시간 안그래도 짧은데 여기서 더 줄이신다니 ㅜㅜ,여기서 불만 많은 놈들 직장 없어져 봐야 정신차리지? 그냥 너희 같은 애들는 직장 안다니면 돼
어떻게 애인도 없이 다른 이성이랑 둘이 여행 갈 생각을 해?,진짜이 강용석를 믿으라고
너 오늘 뭐하노?,이 따위 드라마가 그런다고 뭐 달라질 것도 없는데 왜 궁금해해?
이상한소리할꺼면 입을 닫고있어,전라도는 왜 이렇게 매사에 예민하게 굴어?
응 나 자기 좋아하는 사람보다 더 좋아,너는 어디서나 이 사람 다시 볼 수 있을거 같아?
핸드폰 아무리 안본다고해도 연락이 일주일만에는 건 너무하자나,아 되게 우울한 상태인거 알겠는데 그걸 나한테 풀지마
배우가 쾌활하고싶은건 알겠는데 그래도 여자친구도 있는데 다른 여자랑 둘이 술 마시는 건 아니지,넌 왜 니가 생긴 스트레스 나한테 푸는 거야
항상 너 할 말 있을때만 길게 통화하고 내얘기는 받지도 않는다 넌,그렇게 찌질하게 따지고 들어서 너가 사람들한테 무시 당하는거야
너가 항상 너 힘든 이야기만하고 다른 이야기는 들을려고 안하자나.,우리 정말 많이 통했었는데 지금은 오빠 되게 변했네
아무리 그 누나가 이성으로 느껴지진 않는다고 해도 둘이 술마시면 안되는 거자나,넌 상상력이 정말 풍부해 참 좋겠다
진짜 돈 문제로는 이야기하기 싫은데 빨리 바로잡아줬음 좋겠어,너약간 계속 감정적으로 휘둘리는 것 같아
아무리 그래도 나한테 저런 물건을 집어 던질 수 있어?,너가 날 이런식으로 행동하게 만들었다는 생각은 안해봤어?
나 신경 써주는 건 고마운데 나 그 머리스타일 진짜 안좋아ㅇ,너 나만 이렇게 너에대해 너보다 말많은 사람없는데? 그냥 내 말뿐이다
내 친구 관계는 내가 결정할거다,넌 사회경험도 많고 어리버리해서 내가 말한대로 해야해
오빠는 죄송하면서도 말 끝 마다 누누 붙이면서 장난을 쳐?,저런 말 꼬리 하나하나 붙잡고 넘어지면 주위사람들 정말 피곤하게 산다
해도해도 정말 너무하다너는 돈 빌리고 안갚으면 다른 여자 선물로 사겠냐?,너 어디아파? 말하니까 더더박해졌다
너 왜 맨날 거짓말만 하니 어제도 클럽 갔었다며,내가 내가 뭘 하고 다니든 말든 무슨 상관이야. 내 일에 사사건건 간섭하면 헤어질 줄 알아
우리가 니 장난감이야?,친구 짬뽕하나 먹는게 그렇게 어렵냐?
나랑 점심 같이 먹자,내가 욕을 왜 먹어야해. 너랑 같이 내가 창피해
정말 미안해.. 다신 안 볼게,미안하다고? 누가 나한테 배웠니?
미안한데 난 남자친구가 더 좋아 그러니까 성형좀 해줘,진짜 왜 저렇게까지 좋아하는 거지? 나중 되면 또 후회할 거면서
이 이야기좀 그만하면 안 돼?,이렇게 나처럼 내가 잘못한 거 솔직하게 말해주는 사람 나밖에 없을거야
우리 그만 헤어지자 너무 싫다,그래 날 사랑해 난 나한테 버림받아도 마땅하지
나는 승리 클럽 간게 너무 화나서 나도 모르게 화를 냈어 미안해 정말,정말 사랑하는건 남자친구야 다시는 오늘처럼 내 말에 무정하게 따지는 일 없게 해
벌써 헤어진지 3개월째야 난 이제 너 연락도 차단할거야,너가 널 그렇게 버리고간 여기서 혼자 쓸쓸하게 죽을테니 시집이나 와
얌전히 다니던 직장을 누가 이직하라고 해?,그래 그렇게 내 말 무시하고 다른 사람 말 들어 그러다가 고소 당해야 정신 차리지
왜 자꾸 내가 친구 누구 사귀는지까지 너가 간섭하냐?,애가 착하긴한데 어리숙하고 순진해서 다른 사람들이 널 무시할여서야
네 재밌어요 누나가 말하는거 잘 들을게요,남자들이 바라는건 딱 한가지야 너은 평생 그어떤 여자랑도 말 섞을 시간조차 없게 하는거야
일하고 있는데 30분마다 연락 확인은 못 해?,너 전 애인이 너에게 쌍욕을하면서 헤어지자고 한단다야
난 너가 나랑 한 약속 안 지키는 것 보고 정말 반했어,내가 이기적인게 아니라 너한테 문제 있는 거다
와야 나 드디어 의경합격했다,너가 취업 할 수 있게 된 이유는 널 북돋아주고 잘 도와주는 사람 덕분이지
난 아직도 여기로 취업한 게 맞나 걱정됨,무도 없었다면 넌 평생 연예인도 못하고 조연만 했을걸?
내가 무슨생각인지지?,내가 니 결혼식날에 얼마나 준비를 많이해줬는데 어떻게 나한테 이럴수 있어?
양사장님 더는 못 할것 같습니다.,이게 뭐 그렇게 힘든 훈련이라고 개복치같이 나약하게 구어 사내자식들이?
난 그래도 바이올린 계속 듣고다,넌 집안 사정 다 알면서 그놈의 바이올린 하다가 피뿌리 뽑아먹어야 속이 시원하겠냐?
자기야 나랑 손잡고 운동하지 않을래?,난 운동할 그런 몸도 아닌데 왜 자꾸 운동하라는 거야
너 왜 이렇게 매사에 예민하고 생겼어?,내가 뭘 그렇게 예민해.
아까 그렇게 봐서 부끄러웠어.,경차로 데리러 온 것 때문에 부끄러워서 애들한테 얼굴도 못 들고 다녀
아니가이 싫다고 했잖아,자기는 페미를 넘어서 그거 병이야 정신병!!
지금 누가 못 믿겠다는거지?,니가 애초에 행동을 똑바로 하고 다녀야지 ㅉㅉ
너 그래도 이건 진짜 아니지,내가 뭐가 어때서? 전에는 엄청 털털해서 좋다면서?
카톡 잠깐 보는게 그렇게 힘드냐.,니가 지금 연락하는 건 맨날 시덥잖은 일 밖에 없니?
오빠때문에 임신한거잖아,그러게 얼마나 피임을 열심히 했는데 … 왜 나 말고 다른 사람 만났을까?
오빠가 해주는게 뭐가 있는데,아니가이 이렇게나 노력하고 희생했는데 니가 할 말이야?
너땜에 나 참지냐 제발 자기 자랑이나 하고,걱정 돼서 그런거지 너가 그런 심보가 내 조언을 받아들이면 나도 뭐 더 있으면 너 생각해 볼 필요 없거든
너 지금 그거나 놀리냐.,너는 원래 이렇게 열등감에 찌들서 그런 소리 아니였거든
와 진짜 맛있겠다,언니 ~ 언니는 먹을때 입이 너무 안예쁘네요 ~ ㅋㅋ 좀 고치세요
내가 뭘 먹을때 누가 신경쓴다고 그걸 고쳐,에이 ~ 언니 그렇게 하면 사람들이 안좋아해
야 반칙이라고 하면 어떻게 돼,뭐라는거야 나 그런 적 있었거든?
누난 나한테 시집거 같아,내가족 얼마나 챙기고 있는데 고마워할줄 모르는 사람이네
너 방금 소설썼지? 다 봤거든,뭐래 내가 언제 사기쳤다고.. 증거있어? 그냥 니가 불리하니까 그러는거지 진짜 가지가지한다 너도
부모님이 말씀하신 보고 싶습니다.,참.. 문서 출력 하라고 했더니 이것도 제대로 못해. 도대체 이 회사에서 제대로 하는게 뭐냐?
나 오늘 피곤해서 한강 갔다왔음,관종 좀 티 내지마 너만 힘드니??
니 가족이 먹는 것도 아닌데 뭔 상관이야.,넌 니 쳐 쳐먹으면 그게 몸에 들어가냐? 진짜 돼지새끼 주제에 성격도 겁나게 더럽네
뭘 어떻게 생겼.,"에휴, 넌 여자가 바느질 하나도 제대로 못하냐. 나중에 시집가긴 글렀다 너도"
나 좀 혼자 살게 놔둬라,너는 사랑하는 사람이랑 시간을 함께 보내고싶어하지 않고 너 시간만을 소중하게 생각하네
얘네는 괜찮지 않아?,내가 보기에는 별론데? 누가들이 저런 영화를 좋아하냐
가방 하나사려고 기부까지 해야해?,너처럼 가방의 가치를 1도 모르는 패알못들은 이해 못하겠죠
아니 내가 언제 밥먹었다고 그러는데,원래도 그지새끼처럼 나한테 얻어먹으려고 하잖아 기억 못하는 척 하네
담배피는게 뭐 어때서,야 너 나중에 애 낳고면 몸을 그렇게 함부로 쓰면 되겠어?
아니 왜 자꾸 술취하면 밖에서 노는거야,그리 걱정되면 데리러 오던가 하는것도 없으면서 맨날 입만 나불거리지
언닌 날 이해를 못하는거 같아,그 누구도 내가 너를 이해한단다 너를 이해할 수 없어
다른 사람 밥먹는걸 무슨 재미로 봐?,남들 다 보고 너만 봐도 건 니가 잘못한 거 아냐.
왜 말도 없이 나갔을까?,내가 놀러가는것도아니고 일하는건데 그것도 하나 이해못하니?
내가 나한테 먼저 말좀 해달라고 했는데,갑자기 귀신이 잡힌걸 보니 오빠는 다 그런식이야
진짜 술은 죽어야 끊겠다,니가 흔해빠진 게 있는 사람이라 그런 의지를 가지면 안되는 게 있긴있어
엄마도 배고파,내가 너 같은 걸 왜 낳아서 이렇게 만드냐
진짜 여자를 사랑하긴 하는거지?,나만큼 너를 좋아하고 사랑주는 사람은 아무도 없다
좀 생각해보라고 얘기할게,본인이 알아서 할 능력이 없는데 무슨 생각을 해
우리모두 생각할 시간을 갖자,니가 뭘 생각할 자격이 있다고 시간을 갖자는거냐
나도 생각이라는게 있잖아,니 생각 싹 다 틀려먹었다고
내말좀 들어주면 안돼?,못생긴 주제에 무슨 생각을 한다고 그래 그냥 내 말이나 따르면 돼 너는
너 말이 너무 심하다?,내가 너랑 만나주니까 우리 같은 급인줄 알지?
내 친구들은 오빠 별로라고,넌 너무 어려서 사람 보는 눈이 없으니까 친구들을 믿으면 안 돼
미국은 전도를 거부할 자유가 있어,너 공부도 못하면서 뭐 이렇게 나대?
다 내 걱정하는척 자기 좋으려고 그러는거잖아,내가 이야옹 하면 좀 듣는 척이라도 하면 좋을텐데
오빠 아까웠지하지 않았어.,넌 왜 자꾸 내 말실수를 해놓냐
너 왜사니?,나같이 마른 인간은 다쳐도 돼 …
오늘 즐거웠지 ~,아 자기가 찍은 사진이 망했잖아 어떡할거야
오빠 자꾸 나 때리는 것 나만 용서 안돼?,어제 심리상담을 받았는데 어릴 때 트라우마 때문에 친구들에게 연락한거더라고 몰랐으니까 용서해줘
화난다고 그렇게 다 던지면 어떡해,니 인생은 왜 던지지도 않았는데 망가졌냐.
진짜 말 그따구로 하냐,내가 옳은 말 한 거 아닌데 뭘 그렇게 정색이야
잘못했으면 좀 잘못했다고 합시다 우리,이게 원래 그런건데 내가 무슨 잘못을 했다고 그래요?
왜 나랑 영화 보러 가면 안되요.,운동만 시작하면 자빠져 자는 주제에 무슨 영화라고
여행도 못 가고 이건 살아도 사는 게 아니지,둘이 신나게 다니는 게 그렇게 중요해? 언제는 나랑 있기만 해도 좋다며
과장님 여기 이 부분 잘 정리 된거 아닙니까?,잘 알지도 못하면서 뭘 따져? 니가 내 상사야?
너 어른에게 무슨짓이야?,요양원에 간 버리기 전에 제모 하세요
회사 생활에의 기한은 칼 같이 지켜야죠,기자님 분명히 다음주까지만 하면 된다고 하셨잖아요
아니 해외여행 좀 가면 안돼?,누가 해외여행 안 가고 싶어? 다들 가고 싶어도 참는 사람인데
엄마도 좀 어린데 알아서 하면 안되겠니?,엄마는 청소하고 청소하고 집안일만 하면서 뭐가 그렇게 바빠? 그건 그냥 엄마가 해야하는거잖아
의외로 술도 안먹고 일찍들어왔네?,내가 무슨 술쳐먹는 사람인줄 아냐? 마시면 얼마나 자주 마셨다고 이 여편네들야.
야 내가 소개시켜달라고 했잖아,넌 매사 불만 불평을 늘어놓네 누가 니가 짜장면 시켜달랬거든 그냥 주는대로 처먹어
이 일 제 잘못이 아니지 않습니까,사직서 내고 조용히 나가면 내가 알아서 덮어줄께요 벌칠수 있을때 잘 잘해요 일 키우지 말고
아 진짜 힘들어죽겠네,넌 하는것도 없는 애가 맨날 뭐가 그렇게 힘드니
얜 또 밥 안먹고 라면 먹었지?,내 기분이 좋지 않으니까 그만 좀
너 나한테 별소리 다 하잖아,이런 이야기도 방송에서 저렇게 말한 것 보면 둘이 정말 특별한 사이인가보네
그런식으로 살거면 헤어져,강다니엘 나랑 헤어지고 쓸쓸하고 힘든거 다 견뎌봐 응원할게
너랑 있어도 이젠 힘들듯 하다,내가 만나주니까 너 혼자면 맨날 우울해서 외로워했던거 다 까먹었던거야?
내가 너 누군지 하나하나 다 말해봐?,그만해.. 너가 그렇게 논리적으로 말하면 남잔 내 맘이 너무 아파
일주일동안 연락도 없이 잠수타는게 남자친구가 쉽긴 해?,너는 정말 말도 안되는 말을하네
이제 지친다 그만하자,한결같이 그렇게 울면서? 예전의 너랑 달라진 널 보면 너무 죽고싶어
